CR_REGION,NOMBRE_REGION,CR_TIENDA,NOMBRE_TIENDA
10CAN,Yucatan,508UI,Valle Verde MID
10CAN,Yucatan,508VP,3 Poderes MID
10CAN,Yucatan,508XZ,Rancho Nuevo CUN
10CAN,Yucatan,5090A,Grand Palladium RM CUN
10CAN,Yucatan,5090O,Mayagas CUN
10CAN,Yucatan,50918,Remate Montejo MID
10CAN,Yucatan,5092G,Siglo XXI MID
10CAN,Yucatan,5092Q,Vicario CUN
10CAN,Yucatan,5093K,Lagunas Tulum CUN
10CAN,Yucatan,50943,Terranova CUN
10CAN,Yucatan,5094I,Gas La Ria MID
10CAN,Yucatan,5095F,Chiich CUN
10CAN,Yucatan,5095H,Cordoba CUN
10CAN,Yucatan,50965,San Haroldo CUN
10CAN,Yucatan,5096R,Siglo XXIII CUN
10CAN,Yucatan,5098I,Fenix CUN
10CAN,Yucatan,509BS,San Francisco CUN
10CAN,Yucatan,509CR,Ebtun CUN
10CAN,Yucatan,509DX,Servifacil CUN
10CAN,Yucatan,509E6,Muna MID
10CAN,Yucatan,509EB,Kiina CUN
10CAN,Yucatan,509EZ,Habana CUN
10CAN,Yucatan,509F2,Acanceh
10CAN,Yucatan,509FE,Sky Park CUN
10CAN,Yucatan,509FM,Pepes CUN
10CAN,Yucatan,509J8,Aloja CUN
10CAN,Yucatan,509L3,Las Vias MID
10CAN,Yucatan,509O1,San Jose MID
10CAN,Yucatan,509PE,Natura CUN
10CAN,Yucatan,509PW,Chichen Itza CUN
10CAN,Yucatan,509Q4,Oporto CUN
10CAN,Yucatan,509QO,Tekax CUN
10CAN,Yucatan,509QY,Xcanatun MID
10CAN,Yucatan,509RB,Urban Center CUN
10CAN,Yucatan,509S2,Malaga MID
10CAN,Yucatan,509S3,La Cima CUN
10CAN,Yucatan,509T8,Unimayab CUN
10CAN,Yucatan,509UK,Naay CUN
10CAN,Yucatan,509VV,Metropolisur MID
10CAN,Yucatan,509W3,El Duque MID
10CAN,Yucatan,509WQ,Sierra Madre
10CAN,Yucatan,509Y9,Cipres MID
10CAN,Yucatan,509YG,Marinos CUN
10CAN,Yucatan,509YL,Jaina MID
10CAN,Yucatan,509ZM,Delicias CUN
10CAN,Yucatan,50A03,Algarrobos CUN
10CAN,Yucatan,50A04,Real Kanasin MID
10CAN,Yucatan,50A0M,Montreal CUN
10CAN,Yucatan,50A0T,Secrets CUN
10CAN,Yucatan,50A13,Centrito MID
10CAN,Yucatan,50A2J,Marlin CUN
10CAN,Yucatan,50A2Q,Bazar MID
10CAN,Yucatan,50A33,Parque Azul CUN
10CAN,Yucatan,50A4R,Noh Pat CUN
10CAN,Yucatan,50A7B,Bahia Langosta CUN
10CAN,Yucatan,50A84,Xopo CUN
10CAN,Yucatan,50A9V,Periferico Sur CUN
10CAN,Yucatan,50ABB,San Vicente MID
10CAN,Yucatan,50ABC,ABC CUN
10CAN,Yucatan,50ABN,Altabrisa II MID
10CAN,Yucatan,50AHD,Aeropuerto Cancun CUN
10CAN,Yucatan,50AHP,Sian Kaan CUN
10CAN,Yucatan,50AHS,Gran Santa Fe CUN
10CAN,Yucatan,50AIV,Aviacion MID
10CAN,Yucatan,50AJD,Jacarandas ACA
10CAN,Yucatan,50AJR,Alejandria CUN
10CAN,Yucatan,50AKQ,Paseo del Carmen CUN
10CAN,Yucatan,50AMN,Aleman MID
10CAN,Yucatan,50AMX,Berlin CUN
10CAN,Yucatan,50ANB,Loma Linda CUN
10CAN,Yucatan,50ANH,Anahuac CUN
10CAN,Yucatan,50ANM,Almendro MID
10CAN,Yucatan,50AON,Vivendi CUN
10CAN,Yucatan,50AOR,Timon CUN
10CAN,Yucatan,50AQF,Aquafun CUN
10CAN,Yucatan,50AQM,Amapola CUN
10CAN,Yucatan,50ASW,Las Americas CUN
10CAN,Yucatan,50AUT,Acuario CUN
